City,Facility Name,Provider Number,State,Address,Phone Number,zip,Latitude,Longitude,Yelp Rating
HAYWARD,HAYWARD PEDIATRIC MEDICAL CLINIC,05D0598980,CA,"21297 FOOTHILL BLVD, STE 100",5108868854,94541,37.684944,-122.092589,3
NAPA,HEART AND HEALTH CENTER,05D0599779,CA,1131 TRANCAS STREET,7072577752,94558,38.3229273,-122.2980174,4.5
NAPA,NAPA STATE HOSPITAL,05D0599823,CA,2100 NAPA-VALLEJO HWY,7072535826,94558,38.279169,-122.2727804,3
NAPA,QUEEN OF THE VALLEY MEDICAL CENTER,05D0599855,CA,1000 TRANCAS,7072574077,94558,38.324482,-122.2971094,2.5
NAPA,QUEEN OF THE VALLEY MEDICAL CENTER CLINICAL LAB,05D0599859,CA,1000 TRANCAS ST,7072574077,94558,38.324482,-122.2971094,2.5
PINOLE,DOCTORS MEDICAL CENTER,05D0600136,CA,2151 APPIAN WAY,5107245000,94564,37.9973215,-122.3013353,3.5
SAN LEANDRO,FAMILY MEDICAL GROUP OF SAN LEANDRO,05D0600746,CA,13851 E 14TH ST STE 102,5103512100,94578,37.7137556,-122.1428478,2
SAN LEANDRO,SAN LEANDRO HOSPITAL,05D0600757,CA,13855 E 14TH ST,5104374943,94578,37.7122362,-122.1433524,2
SAN RAMON,PLEASANT CARE MEDICAL ASSOCIATES,05D0600908,CA,5601 NORRIS CANYON ROAD  SUITE #140,9258300644,94583,37.777798,-121.957831,3
SAN RAMON,SAN RAMON REGIONAL MEDICAL CENTER,05D0600921,CA,6001 NORRIS CANYON ROAD,9252758271,94583,37.7759705,-121.9582426,3
WALNUT CREEK,JOHN MUIR MEDICAL GROUP,05D0601551,CA,"2121 YGNACIO VALLEY RD #106, BLD E",9259352333,94598,37.9208511,-122.0326754,5
OAKLAND,ALAMEDA HEALTH SYSTEM - HIGHLAND CAMPUS,05D0601817,CA,1411 E 31ST ST,5104374671,94602,37.7986088,-122.2316641,2.5
OAKLAND,NORTH OAKLAND MEDICAL CLINIC,05D0601984,CA,6105 SAN PABLO AVE,5106587660,94608,37.8442947,-122.2845064,5
OAKLAND,INTERNISTS MEDICAL GROUP,05D0602051,CA,2930 MCCLURE STREET #5,5104442155,94609,37.8186192,-122.2659548,3
OAKLAND,SUMMIT CAMPUS LAB OF ALTA BATES,05D0602367,CA,350 HAWTHORNE AVE,5108696560,94609,37.821677,-122.2630846,3
OAKLAND,KAISER FOUNDATION HOSPITAL OAKLAND LABORATORY,05D0602613,CA,275 W MACARTHUR BLVD,5107526083,94611,37.8235207,-122.2585683,3
BERKELEY,ALTA BATES MEDICAL ASSOCIATES,05D0603272,CA,2850 TELEGRAPH AVE SUITE 110,5108453766,94705,37.8581008,-122.2597613,3
BERKELEY,ALTA BATES CAMPUS LAB OF ALTA BATES SUMMIT,05D0603350,CA,2450 ASHBY AVENUE STE # 2622,5102041631,94705,37.8556279,-122.2575014,3
BERKELEY,ALTA BATES MEDICAL ASSOCIATES,05D0603392,CA,2850 TELEGRAPH AVE STE #120,5108487227,94705,37.8581008,-122.2597613,3
RICHMOND,EAST BAY HOSPITAL,05D0603722,CA,820 TWENTY THIRD STREET,5102342525,94804,37.944015,-122.3471077,3
SAN RAFAEL,SUTTER PACIFIC MEDICAL FOUNDATION,05D0604110,CA,4000 CIVIC CENTER DR STE 205,7075237220,94903,38.0044896,-122.5382765,2.5
SAN RAFAEL,RAFAEL CONVALESCENT HOSPITAL,05D0604160,CA,234 N SAN PEDRO RD,4154793450,94903,38.0026646,-122.5208956,3
SAN RAFAEL,TERRA LINDA MED GROUP,05D0604165,CA,900 LAS GALLINAS AVE,4154791022,94903,38.0078888,-122.5482559,3.5
CAMPBELL,CAMDEN CONVALESCENT HOSPITAL,05D0605330,CA,1331 CAMDEN AVE,4083774030,95008,37.2688976,-121.9453112,2.5
LOS GATOS,COMMUNITY HOSPITAL OF LOS GATOS,05D0605944,CA,815 POLLARD RD,4088664067,95032,37.2627564,-121.9696175,3.5
SANTA CLARA,KAISER FOUNDATION HOSPITAL SANTA CLARA LABORATORY,05D0606477,CA,700 LAWRENCE EXPRESSWAY,4088516084,95051,37.3356096,-121.9988491,3
SAN JOSE,GOOD SAMARITAN HOSPITAL,05D0608006,CA,2425 SAMARITAN DR,4085592474,95124,37.2517475,-121.9466889,3
SAN JOSE,FOREST MEDICAL CLINIC,05D0608555,CA,2307 FOREST AVENUE,4082467120,95128,37.3271944,-121.9436447,4
SAN JOSE,SANTA CLARA VALLEY MEDICAL CENTER,05D0608624,CA,751 S BASCOM AVE,4088856551,95128,37.3128569,-121.9332672,2
SAN JOSE,SURGICAL GROUP-SAN JOSE,05D0608638,CA,455 OCONNOR DRIVE SUITE 370,4082975040,95128,37.326606,-121.9402893,2
SAN JOSE,A GRACE SUB ACUTE & SKILLED CARE,05D0608654,CA,1250 S WINCHESTER BLVD,4082413844,95128,37.3025339,-121.9493552,2
SANTA ROSA,SUTTER PACIFIC MEDICAL FOUNDATION,05D0611419,CA,"34 MARK WEST SPRINGS RD, 2ND FL",7075237220,95403,38.4950701,-122.7496323,3
SANTA ROSA,SUTTER SANTA ROSA REGIONAL HOSPITAL,05D0611473,CA,30 MARK WEST SPRINGS RD,7075764253,95403,38.4950726,-122.7519949,3
SANTA ROSA,SUTTER PACIFIC MEDICAL FOUNDATION,05D0611481,CA,"3883 AIRWAY DR, STE 202",7075237220,95403,38.4832435,-122.7396754,3
SANTA ROSA,SUTTER PACIFIC MEDICAL FOUNDATION,05D0611725,CA,3883 AIRWAY DR STE 120,7075237220,95403,38.4832435,-122.7396754,3
SONOMA,SONOMA VALLEY HOSPITAL DISTRICT,05D0612446,CA,347 ANDRIEUX ST,7079355187,95476,38.2881503,-122.4656876,3
VACAVILLE,NORTHBAY HEALTHCARE GROUP,05D0614782,CA,421 NUT TREE RD,7076247533,95687,38.3639248,-121.9530135,3
VACAVILLE,NORTHBAY VACAVALLEY HOSPITAL,05D0614860,CA,1000 NUT TREE RD,7076465133,95687,38.3557695,-121.9517116,3
VACAVILLE,WINSOR HOUSE CONVALESCENT HOSPITAL,05D0614870,CA,101 S ORCHARD AVE,7074486458,95688,38.3570917,-122.0040458,1
MOUNTAIN VIEW,EL CAMINO HOSPITAL CLINICAL LABORATORY,05D0643619,CA,2500 GRANT ROAD,6509407022,94040,37.3694772,-122.0799117,3
SAN FRANCISCO,CALIFORNIA PACIFIC MEDICAL CENTER,05D0643656,CA,CASTRO AND DUBOCE STREETS,4155656051,94114,37.769165,-122.4308123,3.5
SAN FRANCISCO,UCSF CLINICAL LABS AT PARNASSUS,05D0643676,CA,"505 PARNASSUS AVE, 5TH FL, UCSF BOX 0100",4153531976,94143,37.764201,-122.4573852,3
MOUNTAIN VIEW,MEDICAL ASSOCIATES LABORATORY,05D0643686,CA,1174 CASTRO ST STE 275,6509888011,94040,37.3823855,-122.0866294,3
FREMONT,BHC FREMONT HOSPITAL (IN-PATIENT/OUT-PATIENT),05D0643731,CA,39001 SUNDALE DRIVE,5105744872,94538,37.5465161,-121.9798196,2
MARTINEZ,CONTRA COSTA REGIONAL MEDICAL CENTER,05D0643755,CA,2500 ALHAMBRA AVE,9253705390,94553,38.006764,-122.1327937,2
SAINT HELENA,ADVENTIST HEALTH STHELENA,05D0643777,CA,10 WOODLAND ROAD,7079636483,94574,38.5425501,-122.4748268,2.5
OAKLAND,COAGULATION CENTER,05D0643829,CA,3023 SUMMIT ST,5104529305,94609,37.819804,-122.264803,3
SAN JOSE,SANTA CLARA VALLEY MEDICAL CENTER,05D0643948,CA,751 S BASCOM AVE,4088856550,95128,37.3128569,-121.9332672,2
SAN JOSE,CALIFORNIA INSTITUTE FOR MEDICAL RESEARCH,05D0643966,CA,2260 CLOVE DR,4089984554,95128,37.3123655,-121.9340386,2
SAN JOSE,SANTA CLARA COUNTY PUBLIC HEALTH DEPARTMENT,05D0643967,CA,"2220 MOORPARK AVE, 2ND FLOOR",4088854272,95128,37.3155593,-121.9337045,2
SAN FRANCISCO,PHYSICIANS CLINICAL LABORATORY,05D0662979,CA,1635 DIVISADERO ST STE 105,4152027520,94115,37.7845754,-122.4400886,3
NOVATO,NOVATO COMMUNITY HOSPITAL / LAB,05D0663151,CA,180 ROWLAND WAY,4152091424,94945,38.0996482,-122.5603401,3.5
CONCORD,JOHN MUIR MEDICAL CENTER CONCORD CAMPUS,05D0663440,CA,2540 EAST ST BOX 4110,5106742452,94520,37.9827647,-122.0333245,3
SAN JOSE,FOREST SURGERY CENTER,05D0663589,CA,2110 FOREST AVENUE,4082973432,95128,37.3267337,-121.9374894,4
SAN FRANCISCO,GOLDEN GATE COMMUNITY HEALTH,05D0667391,CA,815 EDDY ST STE 200,4154417858,94109,37.7825273,-122.4214636,3
FREMONT,PARK CENTRAL NURSING CENTER,05D0667905,CA,2100 PARKSIDE DRIVE,5107975300,94536,37.5584187,-121.9811538,2
WALNUT CREEK,JOHN MUIR HEALTH,05D0669622,CA,1450 TREAT BLVD STE 350,9259414031,94597,37.9260898,-122.0522716,2
BERKELEY,CITY OF BERKELEY HEALTH CLINIC,05D0671045,CA,830 UNIVERSITY AVENUE,5106448571,94710,37.8678299,-122.2972201,5
LOS GATOS,LOS GATOS MEDICAL CENTER,05D0672531,CA,"16400 LARK AVE, STE 100",4083849719,95032,37.2478775,-121.9569489,3.5
FREMONT,KAISER FOUNDATION HOSPITAL FREMONT LABORATORY,05D0673159,CA,39400 PASEO PADRE PARKWAY,5107953149,94538,37.5524244,-121.974401,2
SAN RAFAEL,PHYSICIAN OFFICE,05D0673192,CA,2620 NORTHGATE MALL,4154991093,94903,38.0036476,-122.5443914,2.5
SAN FRANCISCO,GOLDEN GATE MEDICAL GROUP,05D0675149,CA,3620 CESAR CHAVES ST,4158267577,94110,37.7483761,-122.4219282,3.5
MOUNTAIN VIEW,EL CAMINO HEALTHCARE RADIOLOGY SERVICE,05D0675747,CA,2500 GRANT ROAD,4159887525,94040,37.3694772,-122.0799117,3
VALLEJO,SUTTER SOLANO MEDICAL CENTER,05D0678389,CA,300 HOSPITAL DR,7075545282,94589,38.1312888,-122.2373373,2.5
SAN MATEO,MID PENINSULA PEDIATRICS,05D0678953,CA,50 SOUTH SAN MATEO DRIVE 150,4153424145,94401,37.5660345,-122.326385,4
WALNUT CREEK,WALNUT CREEK DIALYSIS,05D0679147,CA,108 LA CASA VIA SUITE 106,5109370203,94598,37.9116362,-122.0439482,3
WALNUT CREEK,JOHN MUIR MEDICAL CENTER WALNUT CREEK CAMPUS,05D0680025,CA,1601 YGNACIO VALLEY ROAD,9259417966,94598,37.9128769,-122.0409498,1
SONOMA,SONOMA FAMILY PRACTICE,05D0681362,CA,270 PERKINS STREET,7079383131,95476,38.2893127,-122.4630667,3
MARTINEZ,CONTRA COSTA HEALTH SERVICES,05D0683109,CA,2500 ALHAMBRA AVE,9253705260,94553,38.006764,-122.1327937,2
SAN JOSE,SANTA CLARA VALLEY MEDICAL CENTER -,05D0684020,CA,976 LENZEN AVE,4088856551,95126,37.3344011,-121.9118425,2
MOUNTAIN VIEW,WOMENS PHYSICIANS OB GYN MEDICAL GROUP,05D0684291,CA,2485 HOSPITAL DRIVE SUITE 221,6509887550,94040,37.3696227,-122.0809483,3
SAN FRANCISCO,SAN FRANCISCO HEALTH CARE,05D0686980,CA,1477 GROVE STREET,4155630565,94117,37.7752769,-122.4407964,3.5
OAKLAND,GENETICS LAB KAISER HOSPITAL,05D0687104,CA,3900 BROADWAY AVENUE,5105966298,94611,37.8264074,-122.2567481,3
SAN FRANCISCO,WOMEN'S COMMUNITY CLINIC,05D0688076,CA,1833 FILLMORE ST 3RD FLOOR,4153797800,94115,37.7865122,-122.4336742,3
MOUNTAIN VIEW,CALIFORNIA SKIN INSTITUTE,05D0688144,CA,525 SOUTH DR STE 115,6509695600,94040,37.3669233,-122.0846817,3
WALNUT CREEK,KAISER FOUNDATION HOSPITAL,05D0688372,CA,1425 SOUTH MAIN ST,5102954340,94596,37.8915785,-122.0588864,3
SANTA ROSA,REDWOOD REGIONAL ONCOLOGY CENTER,05D0689029,CA,121 SOTOYOME ST SUITE 101,7075251150,95405,38.4422133,-122.7018128,2.5
FREMONT,FREMONT CARE CENTER,05D0689072,CA,2500 COUNTRY DRIVE,5107924242,94536,37.5569346,-121.9847673,3
SAN JOSE,CRESTWOOD MANOR,05D0689073,CA,1425 FRUITDALE AVE,4082751010,95128,37.3113926,-121.9148653,4.5
LOS GATOS,CARE FIRST PEDIATRICS,05D0689195,CA,"812 POLLARD ROAD, SUITE 1",4083741212,95030,37.2621485,-121.9705468,3.5
OAKLAND,DEPARTMENT OF NUCLEAR MEDICINE,05D0689363,CA,280 W MACARTHUR BLVD,5105966210,94611,37.8244471,-122.2576787,3
SAINT HELENA,ADVENTIST HEALTH PHYSICIANS NETWORK,05D0690564,CA,6 WOODLAND RD STE 104,7079631031,94574,38.5428448,-122.4751726,2.5
CONCORD,NURSING LAB TESTING,05D0690648,CA,MT DIABLO MEDICAL CENTER P O BOX 4110,5106742184,94524,37.9827647,-122.0333245,3
WALNUT CREEK,"PERMANENTE MEDICAL GROUP,THE",05D0691064,CA,1425 SOUTH MAIN ST,5102954800,94596,37.8915785,-122.0588864,3
WALNUT CREEK,JOHN MUIR MEDICAL CENTER WALNUT CREEK CAMPUS,05D0691746,CA,1601 YGNACIO VALLEY ROAD,9259417966,94598,37.9128769,-122.0409498,1
OAKLAND,SUMMIT MEDICAL CENTER NUCLEAR MEDICINE,05D0691784,CA,350 HAWTHORNE AVE,5104206042,94609,37.821677,-122.2630846,3
BURLINGAME,MERCY LIFE CARE,05D0692569,CA,360 BEACH RD,4156961050,94010,37.5885876,-122.3366583,2
OAKLAND,MACARTHUR CARE CENTER,05D0693043,CA,309 MACARTHUR BLVD,5108363777,94610,37.8141213,-122.2519147,3
WALNUT CREEK,EAST BAY MEDICAL IMAGING,05D0694965,CA,1515 YGNACIO VALLEY RD SUITE H,5109376100,94598,37.913319,-122.042787,3
SAN RAMON,SAN RAMON REGIONAL MEDICAL CENTER,05D0695489,CA,6001 NORRIS CANYON RD,9252758287,94583,37.7759705,-121.9582426,3
SAN FRANCISCO,ST MARY'S HOSPITAL & MEDICAL CENTER,05D0695520,CA,450 STANYAN,4156681000,94117,37.7740749,-122.4538893,3.5
LOS GATOS,GOOD SAMARITAN HOSPITAL,05D0695727,CA,15891 LOS GATOS/ALMADEN ROAD,4083585622,95032,37.2447534,-121.9479332,3
OAKLAND,SURGERY CENTER OF ALTA BATES,05D0695787,CA,3875 TELEGRAPH AVENUE,5105472244,94609,37.8280783,-122.2651672,3
HAYWARD,KAISER FOUNDATION HOSPITAL,05D0696397,CA,27400 HESPERIAN BLVD,5107844000,94545,37.6305991,-122.0952258,2.5
SANTA ROSA,SUTTER PACIFIC MEDICAL FOUNDATION,05D0697280,CA,3883 AIRWAY DRIVE SUITE 203,7075217766,95403,38.4832435,-122.7396754,3
SAN FRANCISCO,PACIFIC COAST HOSP OUTPATIENT CLINIC,05D0697728,CA,1210 SCOTT ST,4152920450,94115,37.780905,-122.437303,3
OAKLAND,CHILDRENS HOSPITAL,05D0698497,CA,747 52ND ST,5104283529,94609,37.8371901,-122.2670282,3
PALO ALTO,STANFORD UNIVERSITY DIALYSIS CENTER,05D0698502,CA,300 PASTEUR DRIVE ROOM H0105,4157237256,94304,37.4330746,-122.1750485,3
OAKLAND,ASIAN HEALTH SERVICES,05D0698796,CA,818 WEBSTER STREET,5109866830,94607,37.7994313,-122.2710663,3
SAN FRANCISCO,SAN FRANCISCO PARAMEDIC DIVISION DPH,05D0699956,CA,2789 25TH STREET,4152067800,94110,37.7515037,-122.4057559,3
HAYWARD,ST ROSE HOSPITAL LABORATORY,05D0699959,CA,27200 CALAROGA AVE,5102644035,94545,37.6334549,-122.0879165,2
MARTINEZ,CONTRA COSTA REGIONAL MEDICAL CENTER,05D0700221,CA,2500 ALHAMBRA AVENUE,9253705390,94553,38.006764,-122.1327937,2
HAYWARD,ST MICHAEL CONVALESCENT HOSPITAL,05D0701502,CA,25919 GADING RD,5107828424,94544,37.6473304,-122.0825905,2.5
OAKLAND,PERMANENTE MEDICAL OFFICES LAB B,05D0702774,CA,280 W MACARTHUR BLVD,5105966083,94611,37.8244471,-122.2576787,3
OAKLAND,KAISER FOUNDATION HOSPITAL LAB A,05D0702859,CA,280 W MACARTHUR BLVD,5105966083,94611,37.8244471,-122.2576787,3
SAN JOSE,GOOD SAMARITAN HOSPITAL - NURSING,05D0704802,CA,2425 SAMARITAN DRIVE,4085592011,95124,37.2517475,-121.9466889,3
SANTA ROSA,SANTA ROSA MEMORIAL HOSPITAL LAB,05D0706122,CA,1165 MONTGOMERY DRIVE,7075255300,95405,38.4437589,-122.7011068,2.5
ANTIOCH,EPIC CARE,05D0706397,CA,4721 DALLAS RANCH RD,9254180279,94531,37.9702037,-121.7962463,4
REDWOOD CITY,SEQUOIA HOSPITAL DISTRICT,05D0706500,CA,170 ALAMEDA DE LAS PULGAS,4153675544,94062,37.479843,-122.2546654,3.5
WALNUT CREEK,JOHN MUIR MEDICAL CENTER WALNUT CREEK CAMPUS,05D0707203,CA,1601 YGNACIO VALLEY RD,5109393000,94598,37.9128769,-122.0409498,1
SAN FRANCISCO,PHYSICIAN ACCESS CENTER,05D0708855,CA,49 DRUMM ST,4159828380,94111,37.7943454,-122.3968833,3
MILLBRAE,MILLBRAE SERRA CONVALESCENT HOSPITAL,05D0713323,CA,150 SERRA AVENUE,4156978386,94030,37.6003064,-122.3880985,5
WALNUT CREEK,JOHN MUIR MEDICAL GROUP,05D0713834,CA,1455 MONTEGO WAY #103,9259330707,94598,37.9102059,-122.041527,5
SAN FRANCISCO,CALIFORNIA PACIFIC MEDICAL CENTER,05D0714971,CA,2330 CLAY ST 2ND FLOOR,4156003430,94115,37.7913166,-122.4318089,3.5
SAN MATEO,PALO ALTO MEDICAL FOUNDATION,05D0715266,CA,50 SOUTH SAN MATEO DR  SUITE 360,6503429491,94401,37.5660345,-122.326385,2
SAN MATEO,IMMEDIATE CARE,05D0715554,CA,60 N EL CAMINO REAL STE C,4155702273,94401,37.5668233,-122.3292412,4
SAN FRANCISCO,MICHAEL C CHASE MD,05D0715935,CA,45 CASTRO ST 138,4155588200,94114,37.768847,-122.4354438,3.5
SAN FRANCISCO,ZUCKERBERG SAN FRANCISCO GENERAL,05D0716369,CA,1001 POTRERO AVE   BLDG 5  RM 2M2,4152068588,94110,37.7550804,-122.4056895,3
SAINT HELENA,ST. HELENA WOMEN'S CENTER,05D0716381,CA,821 SOUTH ST HELENA HWY,7079635006,94574,38.4871953,-122.4489033,4
FREMONT,WASHINGTON OUTPATIENT SURGERY CENTER,05D0716634,CA,2299 MOWRY AVENUE 1ST FLOOR,5107905689,94538,37.5569631,-121.9821225,4.5
SAN JOSE,ALMADEN HEALTH & REHABILITATION CENTER,05D0717257,CA,2065 LOS GATOS-ALMADEN ROAD,4083779275,95124,37.2439161,-121.9333117,2.5
MENLO PARK,MENLO PARK SURGICAL HOSPITAL,05D0719602,CA,570 WILLOW RD,6503248500,94025,37.4614452,-122.1590825,4.5
FREMONT,FREMONT HEALTH CENTER,05D0721356,CA,39022 PRESIDIO WY,5107923743,94538,37.5444483,-121.9908977,3
