CITY_NAME,FAC_NAME,PRVDR_NUM,STATE_CD,ST_ADR,PHNE_NUM,ZIP_CD,lat,lng
BURLINGAME,ARNOLD W GOLDSCHLAGER MD,05D0591000,CA,1750 EL CAMINO REAL STE 11,6509944650,94010,,
BURLINGAME,MICHAEL H GIROLAMI MD,05D0591001,CA,1750 EL CAMINO REAL STE 11,6509944650,94010,,
BURLINGAME,KENNETH T ROOST MD,05D0591004,CA,1828 EL CAMINO REAL,4156979146,94010,,
BURLINGAME,BALCO LABORATORIES INC,05D0591037,CA,1520 GILBRETH ROAD,6506976708,94010,,
BURLINGAME,BURLINGAME PACIFICA MEDICAL GROUP INC,05D0591044,CA,1828 EL CAMINO REAL STE 507,6506974195,94010,,
BURLINGAME,"BURLINGAME SENIOR CARE, LLC",05D0591053,CA,1100 TROUSDALE DRIVE,6506923758,94010,,
BURLINGAME,MID-PENINSULA UROLOGY GROUP,05D0591066,CA,1750 EL CAMINO REAL #307,6502591480,94010,,
BURLINGAME,PENINSULA WOMEN'S HEALTH,05D0591071,CA,1828 EL CAMINO REAL SUITE 805,4156923818,94010,,
BURLINGAME,MARCO POLO PODIATRY CLNC,05D0591077,CA,1740 MARCO POLO WAY 10,4156973011,94010,,
BURLINGAME,MILLS-PENINSULA HEALTH SERVICES,05D0591083,CA,1501 TROUSDALE DRIVE,6506965510,94010,,
LIVERMORE,SUTTER HEALTH SHARED LABORATORY,05D0591084,CA,2950 COLLIER CANYON ROAD,9253713800,94551,,
BURLINGAME,PENINSULA VASCULAR SRGRY,05D0591099,CA,1828 EL CAMINO REAL,4156973408,94010,,
BURLINGAME,BLOOD CENTERS OF THE PACIFIC -,05D0591103,CA,1791 EL CAMINO REAL,4156974034,94010,,
BURLINGAME,UNIVERSITY-PENINSULA DERMATOLOGY ASSOC,05D0591122,CA,1515 TROUSDALE DR SUITE 101,4156921700,94010,,
DALY CITY,VILLA CONVALESCENT CTR,05D0591157,CA,130 VALE,4157550411,94014,,
DALY CITY,CHIH-YIH FRANK CHEN MD,05D0591191,CA,1800 SULLIVAN AVE,4157552690,94015,,
DALY CITY,BAY AREA OBSTETRICS & GYNECOLOGY,05D0591199,CA,1850 SULLIVAN AVE STE 550,6507562404,94015,,
DALY CITY,DAVID C YOUNG MD,05D0591204,CA,1500 SOUTHGATE AVE 207,4157569411,94015,,
DALY CITY,PAUL D HARTMAN MD,05D0591209,CA,1800 SULLIVAN AVE STE 301,6509913444,94015,,
DALY CITY,JAMES M FEENEY MD & DAVID A VAUGHAN MD,05D0591213,CA,"1800 SULLIVAN AVENUE, SUITE 207",6509920463,94015,,
DALY CITY,HARRY LEO ROTH MD,05D0591215,CA,48 PARK PLAZA DR,4159921920,94015,,
DALY CITY,PACIFIC COAST PRIMARY CARE,05D0591217,CA,901 CAMPUS DR #208,4159924466,94015,,
DALY CITY,EVANGELINE CONGCO MD,05D0591246,CA,48 PARK PLAZA DR,4157557474,94015,,
DALY CITY,DAVID KNEAPLER MD,05D0591258,CA,901 CAMPUS DR 314,4159910555,94015,,
DALY CITY,DIGESTIVE DISEASE MEDICAL GROUP,05D0591266,CA,1850 SULLIVAN AVE #520,4157565000,94015,,
DALY CITY,FAMILY MEDICAL GROUP,05D0591268,CA,1800 SULLIVAN AVE 209,6509942300,94015,,
DALY CITY,SPINE CARE MED GROUP INC,05D0591304,CA,1850 SULLIVAN AVE #200,4159857500,94015,,
HALF MOON BAY,JOSEFINA R ENRIQUEZ MD,05D0591329,CA,890 MAIN STREET SUITE B,6507264223,94019,,
LOS ALTOS,CARLOS F INOCENCIO MD,05D0591366,CA,4962 EL CAMINO REAL,4159672700,94022,,
LOS ALTOS,"TERRACES AT LOS ALTOS, THE",05D0591411,CA,373 PINE LANE,6509488291,94022,,
LOS ALTOS,COVENANT CARE SUB-ACUTE/REHAB CTR OF,05D0591414,CA,809 FREMONT AVENUE,4159415255,94024,,
LOS ALTOS,ARTHUR J ABRAMS MD INC,05D0591437,CA,763 ALTOS OAKS DRIVE SUITE 4,4159412240,94024,,
MOUNTAIN VIEW,INA K BENDIS MD PHD FCCP INC,05D0591439,CA,2204 GRANT ROAD SUITE 202,4159414100,94040,,
LOS ALTOS,PETER W BROWN MD,05D0591440,CA,747 ALTOS OAKS DR,4159414545,94024,,
MOUNTAIN VIEW,SHERWIN D LEWIS MD,05D0591443,CA,2485 HOSPITAL DRIVE SUITE 321,6509887660,94040,,
LOS ALTOS,PATRICIA C SAMSON MD,05D0591445,CA,795 ALTOS OAKS DR,4159482211,94024,,
LOS ALTOS,"STEPHEN F NICHOLS, MD",05D0591448,CA,731 ALTOS OAKS DR,4159484435,94024,,
LOS ALTOS,RICHARD E JONES,05D0591452,CA,810 ALTOS OAKS DR,4159487070,94024,,
DALY CITY,SONIA C ZARATE-NAVARRO MD,05D0591454,CA,901 CAMPUS DR SUITE 313,4159941113,94015,,
MOUNTAIN VIEW,"ADVANCED CARDIOVASCULAR SPECIALISTS, INC",05D0591473,CA,2490 HOSPITAL DR STE 311,6509624690,94039,,
MOUNTAIN VIEW,EL CAMINO OB/GYN MED GRP/ NASH MEDICAL GROUP,05D0591484,CA,2485 HOSPITAL DRIVE SUITE 361,6509883290,94040,,
LOS ALTOS,PEDIATRICS ASSOCIATES,05D0591491,CA,795 ALTOS OAKS DRIVE,4159486681,94024,,
MENLO PARK,ROBERT M ADAMS MD INC,05D0591533,CA,1300 UNIVERSITY DRIVE #8,4153230276,94025,,
MENLO PARK,MENLO DERMATOLOGY MEDICAL GROUP,05D0591542,CA,888 OAK GROVE AVE STE 8,6503251511,94025,,
MENLO PARK,FAYE D ARUNDELL MD,05D0591544,CA,825 OAK GROVE AVE #D101,4153253310,94025,,
MENLO PARK,LEO HARKAVY MD,05D0591548,CA,888 OAK GROVE AVE #7,4153264960,94025,,
MENLO PARK,MENLO PARK PLACE,05D0591605,CA,1275 CRANE ST,4153227261,94025,,
MENLO PARK,"UNIVERSITY HEALTHCARE ALLIANCE,",05D0591624,CA,1300 CRANE ST,6504986500,94025,,
REDWOOD CITY,"PENINSULA UROLOGY CENTER, INC",05D0591640,CA,2900 WHIPPLE AVE STE 132,6503061016,94062,,
MENLO PARK,DIAGNOSTIC LAB AKA PENINSULA MED LAB,05D0591642,CA,162 CONSTITUTION DR,4153276220,94025,,
MENLO PARK,SHARON HEIGHTS CARE & REHAB,05D0591650,CA,1185 MONTE ROSA DR,4158543300,94025,,
MENLO PARK,MENLO FAMILY MEDICAL GROUP,05D0591654,CA,645 BAY RD,4156178450,94025,,
PORTOLA VALLEY,DONALD A ST CLAIRE MD,05D0591669,CA,828 PORTOLA RD,4158513200,94028,,
MILLBRAE,RICHARD H AULWURM MD,05D0591698,CA,1496 BROADWAY,4155881515,94030,,
MILLBRAE,ROBERT D JACOBS MD,05D0591699,CA,1301 BROADWAY SUITE 5,4155882333,94030,,
MOUNTAIN VIEW,DONALD G HARRIS MD,05D0591770,CA,2500 HOSPITAL DR BLDG #15,4159612220,94040,,
MOUNTAIN VIEW,MICHAEL S GREENFIELD MD,05D0591774,CA,2500 HOSPITAL DRIVE BUILDING 14,6509657500,94040,,
MOUNTAIN VIEW,YIN MIN LIM MD,05D0591779,CA,2485 HOSPITAL DR SUITE 261,4159887680,94040,,
MOUNTAIN VIEW,DONALD B LATHROP MD,05D0591780,CA,2500 HOSPITAL DR #12,4159614220,94040,,
MOUNTAIN VIEW,ROSS D BRIGHT MD,05D0591782,CA,2500 HOSPITAL DR BLDG 11,4159614884,94040,,
MOUNTAIN VIEW,LAWRENCE A WILLIAM MD,05D0591784,CA,811 ALTO OAK DR STE 2,4159615548,94040,,
MOUNTAIN VIEW,OLIVE SORIERO MD,05D0591798,CA,2485 HOSPITAL DR #361,4159887898,94040,,
MOUNTAIN VIEW,MARVIN H SCHWARTZ MD,05D0591801,CA,205 SOUTH DRIVE,4089652213,94040,,
MOUNTAIN VIEW,WOMEN IN FOCUS MEDICAL GROUP INC,05D0591803,CA,2204 GRANT RD STE 202,6509659155,94040,,
MOUNTAIN VIEW,LEN DOBERNE MD,05D0591814,CA,2204 GRANT RD SUITE 103,4159678841,94040,,
MOUNTAIN VIEW,HOSPITAL DRIVE PEDIATRICS,05D0591816,CA,"2500 HOSPITAL DRIVE, #12",6509681605,94040,,
MOUNTAIN VIEW,EL CAMINO INTERNAL MEDICAL GROUP LAB,05D0591859,CA,125 SOUTH DR,4159616600,94040,,
MOUNTAIN VIEW,CAMINO HEALTHCARE LAB AT CASTRO COMMON,05D0591871,CA,1174 CASTRO STREET SUITE 150,4159887853,94040,,
MOUNTAIN VIEW,UROLOGICAL SURGEONS OF NORTHERN CALIFORNIA,05D0591876,CA,2490 HOSPITAL DR STE  210,6509624662,94040,,
MOUNTAIN VIEW,LIN WEN JUNG MD FAAP,05D0591894,CA,515 SOUTH DR SUITE 14,4159661448,94040,,
SUNNYVALE,PATHWAYS HOME HEALTH AND HOSPICE,05D0591900,CA,585 NORTH MARY AVE,4087305100,94085,,
MOUNTAIN VIEW,OSLERWELCH-SBCL LABORATORIES,05D0591910,CA,105 SOUTH DR,4159690200,94040,,
MOUNTAIN VIEW,"ADVANCED CARDIOVASCULAR SPECIALISTS, INC",05D0591915,CA,2660 GRANT ROAD,6509698600,94040,,
MOUNTAIN VIEW,PRENATAL DIAGNOSTICS INC,05D0591919,CA,1580 EL CAMINO REAL W,4159668597,94040,,
MOUNTAIN VIEW,VILLA SIENA HOME FOR THE AGING,05D0591926,CA,1855 MIRAMONTE AVE,4159616484,94040,,
PALO ALTO,UNILAB,05D0591945,CA,770 WELCH ROAD SUITE 181,6503254096,94304,,
MOUNTAIN VIEW,MOUNTAIN VIEW FMLY PHYS,05D0591947,CA,280 HOPE ST,4159675701,94041,,
MOUNTAIN VIEW,JULIA HEALTHCARE CENTER,05D0591958,CA,276 SIERRA VISTA AVE,4159675714,94043,,
PACIFICA,HARVARD M ROBBINS MD,05D0591989,CA,340 EUREKA DRIVE,4153591675,94044,,
REDWOOD CITY,ARCH STREET MEDICAL ASSOCIATES INC,05D0592021,CA,143 BIRCH STREET,6503661141,94062,,
REDWOOD CITY,PALO ALTO MEDICAL FOUNDATION,05D0592085,CA,2950 WHIPPLE AVENUE,6503664633,94062,,
REDWOOD CITY,SIDNEY MARCHASIN MD,05D0592089,CA,2940 WHIPPLE AVE,4153650982,94062,,
REDWOOD CITY,JOHN M SALZER MD,05D0592092,CA,193 ARCH STREET,4153654657,94062,,
SAN CARLOS,DAVID AND GAIL JACOBY MD,05D0592098,CA,1036 LAUREL STREET,4156317000,94070,,
REDWOOD CITY,JOHN G NUCKTON MD,05D0592099,CA,139 ARCH SUITE 2,4153670444,94062,,
REDWOOD CITY,WILLIAM KENNETT MD,05D0592103,CA,"100 ARCH ST, STE I",4153679990,94062,,
REDWOOD CITY,MUNYON DERMATOLOGY INC,05D0592108,CA,262 REDWOOD SHORES PKWY,6506546020,94065,,
REDWOOD CITY,DAVID J ELDON MD INC,05D0592114,CA,2940 WHIPPLE AVENUE #C,4153692138,94062,,
REDWOOD CITY,G L SHMAGRANOFF MD,05D0592117,CA,2950 WHIPPLE AVE SUITE 3,4153694669,94062,,
REDWOOD CITY,"DAVID WEISENBERG, MD",05D0592146,CA,"2900 WHIPPLE AVENUE, SUITE 125",4153631558,94062,,
REDWOOD CITY,VINCENT S YUEN MD,05D0592148,CA,2950 WHIPPLE AVE,4153658316,94062,,
REDWOOD CITY,SBCL OSTERWELCH REDWOOD CITY,05D0592170,CA,2946 BROADWAY,4153665813,94062,,
REDWOOD CITY,SEQUOIA HOSPITAL LABORATORY,05D0592180,CA,170 ALAMEDA DE LAS PULGAS,6503675544,94062,,
REDWOOD CITY,MAYER SBOROV MEDICAL CORP,05D0592196,CA,945 MIDDLEFIELD RD,4153682804,94063,,
REDWOOD CITY,AVRAM GREENSPAN MD,05D0592198,CA,609 PRICE AVE STE 104,4153651109,94063,,
SAN CARLOS,BRIAN S LIPSON MD,05D0592207,CA,1010 LAUREL STREET,6506319909,94070,,
REDWOOD CITY,FAIR OAKS FAMILY HEALTH,05D0592225,CA,2710 MIDDLEFIELD ROAD,4155732646,94063,,
REDWOOD CITY,GOLDEN GATE PODIATRY GROUP INC,05D0592226,CA,926 BROADWAY,4153665761,94063,,
REDWOOD CITY,"ASCEND CLINICAL, LLC",05D0592241,CA,1400 INDUSTRIAL WAY,6507805500,94063,,
SAN BRUNO,PETER V BOVE MD,05D0592277,CA,841 SAN BRUNO AVE W SUITE 1,6505837680,94066,,
DALY CITY,CSI MEDICAL GROUP,05D0592282,CA,1800 SULLIVAN AVE STE 403,6509943238,94015,,
SAN BRUNO,NORTH COUNTY FAMILY MED CLINIC,05D0592318,CA,1001 SNEATH LN STE 104,6508731200,94066,,
SAN BRUNO,DIAGOSTIC LABORATORIES,05D0592323,CA,1001 SNEATH LN,6505891380,94066,,
SAN BRUNO,SAN BRUNO INTERNIST GROUP,05D0592330,CA,1001 SNEATH LANE,6503482558,94066,,
SAN MATEO,CALIFORNIA CANCER CARE,05D0592358,CA,218 DE ANZA BLVD,6503419131,94402,,
SAN CARLOS,ALAN M MASSING MD A MEDICAL,05D0592360,CA,1186 BRITTAN AVE,4155918216,94070,,
SAN CARLOS,PENINSULA MEDICAL GROUP,05D0592395,CA,1100 LAUREL SUITE B,4155912675,94070,,
REDWOOD CITY,PENINSULA GASTROENTOROLOGY,05D0592396,CA,"2900 WHIPPLE AVENUE, SUITE 245",4153653700,94062,,
SAN CARLOS,SAN CARLOS MEDICAL CLNC,05D0592404,CA,1660 SAN CARLOS AVE,4155917371,94070,,
SOUTH SAN FRANCISCO,CUNHA OFFICE,05D0592461,CA,125 NORTHWOOD DR,4155889958,94080,,
SOUTH SAN FRANCISCO,SOLOMON STERN GLATT MDS MEDICAL CORP,05D0592491,CA,160 COUNTRY CLUB DRIVE SUITE D,6509525880,94080,,
SOUTH SAN FRANCISCO,KAISER FOUNDATION HOSPITAL,05D0592499,CA,1200 EL CAMINO REAL,6507422201,94080,,
SUNNYVALE,CSI MEDICAL GROUP,05D0592715,CA,603 S KNICKERBOCKER DR,4087360441,94087,,
SUNNYVALE,LAWRENCE ARONSON MD,05D0592716,CA,877 W FREMONT AVE,4087360677,94087,,
SUNNYVALE,VIOLETA R FOJAS-VITUG MD,05D0592718,CA,425 E REMINGTON DR,4087362700,94087,,
SUNNYVALE,GLORIETTA ANG-FONTE MD,05D0592727,CA,500 E REMINGTON DR SUITE 29,4087460313,94087,,
SUNNYVALE,E C H LABORATORY AT REMINGTON,05D0592764,CA,500 E REMINGTON,4159669267,94087,,
SUNNYVALE,KENNETH E AVERILL MED CORP,05D0592769,CA,877 WEST FREMONT AVE # J,4087380740,94087,,
SANTA CLARA,PALMER COLLEGE-CHIROPRACTIC WEST,05D0592788,CA,1190 BENTON STREET,4089834100,95050,,
SUNNYVALE,MICHAEL V ALTAMURA MD,05D0592794,CA,500 E REMINGTON DR,4082457211,94087,,
SAN FRANCISCO,JANE R HAMERSLEY MD,05D0592907,CA,490 POST SUITE 1427,4153623307,94102,,
SAN FRANCISCO,HARVEY C EDELMAN MD,05D0592911,CA,490 POST STREET 1210,4153626038,94102,,
SAN FRANCISCO,MARTIN TERPLAN MD,05D0592912,CA,490 POST,4153626398,94102,,
SAN FRANCISCO,MARTIN C CARR MD,05D0592917,CA,500 SUTTER 320,4153914420,94102,,
SAN FRANCISCO,FRANK F STANGL MD INC,05D0592931,CA,490 POST STREET SUITE 526,4154211210,94102,,
SAN FRANCISCO,ROBERT T KNUDSEN MD,05D0592933,CA,490 POST,4154213363,94102,,
SAN FRANCISCO,CAROLYN CARR MD,05D0592939,CA,490 POST ST #1152,4154337000,94102,,
SAN FRANCISCO,THANH Q TRAN MD,05D0592945,CA,439 O'FARRELL STREET,4154414882,94102,,
SAN FRANCISCO,A LOIS SCULLY MD,05D0592953,CA,490 POST,4157813533,94102,,
SAN FRANCISCO,SILVIA YUEN MD,05D0592964,CA,450 SUTTER STREET SUITE 1530,4159864302,94108,,
SAN FRANCISCO,EAR NOSE AND TROAT MEDICAL ASSOCIATES,05D0592997,CA,490 POST STREET #1230,4153923833,94102,,
SAN FRANCISCO,DIABETES MED GROUP-S F/ALAN L RUBIN MD,05D0593019,CA,490 POST ST 544,4153915667,94102,,
SAN FRANCISCO,GARY S ROSS MD,05D0593024,CA,500 SUTTER STREET SUITE 300,4153980555,94102,,
SAN FRANCISCO,SUTTER-VNA & HOSPICE,05D0593069,CA,"1 SOUTH VAN NESS, 8TH FLOOR",4156007500,94102,,
SAN FRANCISCO,SAN FRANCISCO CITY CLINIC BRANCH,05D0593092,CA,356 7TH ST,4155542800,94103,,
SAN FRANCISCO,NATIVE AMER HEALTH CTR MED DEPARTMENT,05D0593105,CA,160 CAPP ST,4156211170,94110,,
SAN FRANCISCO,INTERNATIONAL MED CENTERS INC,05D0593156,CA,311 CALIFORNIAST SUITE 400,4153985300,94104,,
SAN FRANCISCO,MISSION BAY CONVALESCENT HOSPITAL,05D0593205,CA,331 PENNSYLVANIA AVENUE,4156473587,94107,,
SAN FRANCISCO,PACIFIC HORIZON MEDICAL GROUP,05D0593209,CA,2351 CLAY STREET #512,4152925477,94115,,
SAN FRANCISCO,"DERMATOLOGY MEDICAL GROUP OF SAN FRANCISCO, INC.",05D0593365,CA,490 POST ST STE 700,4153622238,94102,,
SAN FRANCISCO,GARY N APTER MD,05D0593371,CA,450 SUTTER ST #2001,4153920500,94108,,
SAN FRANCISCO,CHIH YIH FRANK CHEN MD,05D0593373,CA,391 SUTTER STREET SUITE 501,4153923352,94108,,
SAN FRANCISCO,CLIFFORD C WONG MD,05D0593379,CA,950 STOCKTON SUITE 206,4153983313,94108,,
DALY CITY,DENNIS L HAMBY MD,05D0593384,CA,1500 SOUTHGAT AVE #201,4159970555,94015,,
SAN FRANCISCO,WING K LEE MD,05D0593398,CA,950 STOCKTON ST SUITE 203,4157881072,94108,,
SAN FRANCISCO,PAN PACIFIC UROLOGY,05D0593409,CA,2100 WEBSTER STE 222,4152020250,94115,,
SAN FRANCISCO,FOON POO CHIN MD,05D0593410,CA,770 STOCKTON STREET,4159822292,94108,,
SAN FRANCISCO,JEW AND JEW MEDICAL ASSOCIATES,05D0593412,CA,919 CLAY STREET,4159824011,94108,,
SAN FRANCISCO,GUSTIN M HO MD,05D0593413,CA,929 CLAY STREET #401,4159824100,94108,,
SAN FRANCISCO,"DONG LIN, MD",05D0593426,CA,"950 STOCKTON STREET, SUITE #207",4153999646,94108,,
SAN FRANCISCO,ASSOCS IN DERMATOLOGY A MEDICAL GROUP,05D0593463,CA,450 SUTTER ST SUITE #1432,4159899400,94108,,
SAN FRANCISCO,DOWNTOWN MEDICAL GROUP,05D0593479,CA,450 SUTTER STREET SUITE 1723,4153627177,94108,,
SAN FRANCISCO,OSLERWELCH LABORATORIES,05D0593504,CA,450 SUTTER ST #911,4153916139,94108,,
SAN FRANCISCO,SAN FRANCISCO DIGESTIVE,05D0593516,CA,450 SUTTER ST 1203,4153623336,94108,,
SAN FRANCISCO,SELF-HELP HOMECARE & HOSPICE,05D0593521,CA,731 SANSOME ST STE 100,4156777628,94111,,
SAN FRANCISCO,SHENSON & SHENSON,05D0593522,CA,450 SUTTER ST 808,4153628275,94108,,
SAN FRANCISCO,GENE PUDBERRY DO,05D0593585,CA,"909 HYDE ST, STE 119",4157754448,94109,,
SAN FRANCISCO,"JOSEPH T SPAULDING, MD INC",05D0593591,CA,909 HYDE SUITE 222,4154413155,94109,,
SAN FRANCISCO,RONALD K SMIALOWICZ MD,05D0593593,CA,909 HYDE ST DEPT 115,4154415000,94109,,
SAN FRANCISCO,HANLON J FONG MD,05D0593594,CA,2000 VAN NESS AVE,4154416120,94109,,
SAN FRANCISCO,M DAVID COHEN MD,05D0593596,CA,909 HYDE #505,4154416669,94109,,
SAN FRANCISCO,NORMAN W CULINER MD,05D0593604,CA,736 LEAVENWORTH,4154743211,94109,,
SAN FRANCISCO,J H HADDAD ET AL,05D0593636,CA,909 HYDE ST STE 125,4157714366,94109,,
SAN FRANCISCO,SOL A BEADNER MD,05D0593646,CA,2255 VAN NESS AVENUE 101,4157755835,94109,,
SAN FRANCISCO,JOHN F CIESIELKA MD,05D0593650,CA,1199 BUSH STREET SUITE 690,4157758823,94109,,
SAN FRANCISCO,RONALD R CHAPPLER MD,05D0593659,CA,909 HYDE #423,4158854343,94109,,
SAN FRANCISCO,THOMAS R VAUGHAN MD,05D0593699,CA,900 HYDE ST,4156737515,94109,,
SAN FRANCISCO,"BREALL, O'BRIEN & WEINREB",05D0593722,CA,"2250 HAYES STREET, SUITE 204",4159339100,94117,,
SAN FRANCISCO,OFFICE OF MARTIN M MASS MD,05D0593734,CA,4200 18TH STREET SUITE 201,4159236560,94114,,
SAN FRANCISCO,PLANNED PARENTHOOD,05D0593770,CA,815 EDDY ST SUITE 300,4154417858,94109,,
SAN FRANCISCO,SAINT FRANCIS MEMORIAL HOSPITAL LAB,05D0593789,CA,900 HYDE STREET 1ST FLOOR,4153536333,94109,,
SAN FRANCISCO,RANULFO LIM MD,05D0593861,CA,3177 MISSION GRD FLR,4152825588,94110,,
SAN FRANCISCO,HOWARD E SCHWAT MD,05D0593866,CA,2480 MISSION,4156476700,94110,,
SAN FRANCISCO,GINA P LOPEZ MD,05D0593870,CA,1580 VALENCIA ST SUITE 111,4152851828,94110,,
SAN FRANCISCO,LENE V MARTINEZ MD,05D0593872,CA,1580 VALENCIA SUITE 806,4152852410,94110,,
SAN FRANCISCO,"BAYWEST FAMILY HEALTHCARE MEDICAL GROUP, INC",05D0593879,CA,"1580 VALENCIA STREET, SUITE 201",4152067541,94110,,
SAN FRANCISCO,ST LUKE'S HEALTH CARE CENTER- ADULT CLINIC,05D0593890,CA,1580 VALENCIA STREET #506,4156416913,94110,,
SAN FRANCISCO,RENAL MEDICAL ASSOCIATES,05D0593896,CA,1580 VALENCIA ST #806,4156476660,94110,,
SAN FRANCISCO,MARTIN S LIBERMAN MD,05D0593904,CA,3801 SACRAMENTO ST #100,4157506510,94118,,
DALY CITY,DALE E KOCIENSKI MD,05D0593905,CA,901 CAMPUS DRIVE STE 207,4159912381,94015,,
SAN FRANCISCO,CESAR S ORTIZ MD,05D0593906,CA,3085 24TH STREET,,94110,,
SAN FRANCISCO,NANCY BOHANNON MD,05D0593908,CA,1580 VALENCIA STE 504,4156487622,94110,,
SAN FRANCISCO,UROLOGY CENTER OF SAN FRANCISCO,05D0593923,CA,1580 VALENCIA #708,4158261415,94110,,
SAN FRANCISCO,LAWRENCE GRANADER MD,05D0593927,CA,1580 VALENCIA,4158264735,94110,,
SAN FRANCISCO,ADOLFO P BADILLO MD,05D0593932,CA,2958 24TH ST,4158268727,94110,,
SAN FRANCISCO,OCCUPATIONAL HEALTH NETWORK,05D0593978,CA,650 5TH STREET SUITE 101,4159745157,94107,,
SAN FRANCISCO,LYON-MARTIN HEALTH SERVICES,05D0593987,CA,1735 MISSION ST,4155657667,94103,,
SAN FRANCISCO,MISSION NEIGHBORHOOD HEALTH CENTER,05D0593994,CA,240 SHOTWELL ST,4155521013,94110,,
SAN FRANCISCO,PRIMARY HLTH CARE ASSOCS,05D0594008,CA,1580 VALENCIA 605,4158219393,94110,,
SAN FRANCISCO,CA PACIFIC MED CTR LAB.-ST. LUKE'S CAMPUS HOSPITAL,05D0594021,CA,3555 CESAR CHAVEZ STREET,4156002200,94110,,
SAN FRANCISCO,MARK OSCHERWITZ MD,05D0594045,CA,1199 BUSH STREET #500,4156737600,94109,,
MILL VALLEY,AESTHETIC DERMATOLOGY & COSMETIC SURGERY,05D0594082,CA,535 MILLER AVE,4153835486,94941,,
SAN FRANCISCO,PACIFIC HEIGHTS MEDICAL GROUP,05D0594097,CA,230 CALIFORNIA ST 302,4153974295,94111,,
SAN FRANCISCO,ARTHUR M STORMENT JR MD,05D0594205,CA,45 CASTRO #125,4156217030,94114,,
SAN FRANCISCO,CHARLES D KING MD,05D0594216,CA,45 CASTRO STREET SUITE 125,4158617907,94114,,
SAN FRANCISCO,WILLIAM F OWEN JR MD,05D0594241,CA,45 CASTRO ST SUITE 402,4158612400,94114,,
SAN FRANCISCO,ACCESS HEALTH CARE,05D0594245,CA,DAVIES MEDICAL CENTER SUITE 170,4156566600,94114,,
SAN FRANCISCO,CLINICAL NEPHROLOGY & MEDICAL GRP INC,05D0594257,CA,45 CASTRO STREET #227,4156219616,94114,,
SAN FRANCISCO,NOE VALLEY FAMILY MEDICINE,05D0594278,CA,3700 24TH ST,4152854490,94114,,
